reads.in	reads.out	percentage_retained
W23_35_02_S226_R1_001.fastq.gz	48071	29714	61.8127353289925
W26_05_03_S63_R1_001.fastq.gz	45582	23718	52.0336975121759
W3_25_01_S15_R1_001.fastq.gz	36055	22311	61.8804604077104
W4_21_01_S13_R1_001.fastq.gz	37910	24465	64.5344236349248
W4_31_01_S31_R1_001.fastq.gz	46458	30078	64.74234792716
W4_36_02_S48_R1_001.fastq.gz	42793	19271	45.0330661556797
W6_13_04_S94_R1_001.fastq.gz	43600	25777	59.1215596330275
W6_17_02_S39_R1_001.fastq.gz	49356	32459	65.7650538941568
W6_18_02_S40_R1_001.fastq.gz	51308	20695	40.3348405706712
W6_18_03_S6_R1_001.fastq.gz	49828	32198	64.6182869069599
W6_18_05_S10_R1_001.fastq.gz	42341	24390	57.6037410547696
W7_08_02_S73_R1_001.fastq.gz	48890	31005	63.4178768664349
W7_12_01_S64_R1_001.fastq.gz	42156	16582	39.3348515039378
W7_16_01_S75_R1_001.fastq.gz	44035	26034	59.1211536277961
W7_18_02_S60_R1_001.fastq.gz	40227	23094	57.4092027742561
W7_24_01_S76_R1_001.fastq.gz	49930	28660	57.4003605047066
W7_24_04_S134_R1_001.fastq.gz	75548	42868	56.7427330968391
W7_25_01_S233_R1_001.fastq.gz	31328	16068	51.2895812053115
W7_32_01_S74_R1_001.fastq.gz	56667	36195	63.8731536873313
W7_35_01_S89_R1_001.fastq.gz	39351	26231	66.6590429722243
W8_01_01_S3_R1_001.fastq.gz	50433	29311	58.1186921261872
W8_01_03_S85_R1_001.fastq.gz	33182	22396	67.4944246880839
W8_08_01_S121_R1_001.fastq.gz	73924	48718	65.9028191115199
W8_09_01_S11_R1_001.fastq.gz	34300	22252	64.8746355685131
W8_11_01_S179_R1_001.fastq.gz	34526	21382	61.9301396049354
W8_11_02_S87_R1_001.fastq.gz	40301	24045	59.6635319222848
W8_16_02_S112_R1_001.fastq.gz	39102	18017	46.0769270114061
W8_17_03_S78_R1_001.fastq.gz	36410	19218	52.7822026915682
W8_25_04_S79_R1_001.fastq.gz	40807	25101	61.5115053789791
W8_33_01_S181_R1_001.fastq.gz	41168	19337	46.9709483093665
W8_35_02_S141_R1_001.fastq.gz	18306	9267	50.6227466404458
W9_01_02_S163_R1_001.fastq.gz	37888	26156	69.0350506756757
W9_08_02_S113_R1_001.fastq.gz	69153	45197	65.3579743467384
W9_10_04_S123_R1_001.fastq.gz	61991	37512	60.5120098078753
W9_11_04_S142_R1_001.fastq.gz	109478	71584	65.3866530261788
W9_12_03_S129_R1_001.fastq.gz	57432	31123	54.1910433207968
W9_19_02_S117_R1_001.fastq.gz	52414	27419	52.3123592933186
W9_20_02_S19_R1_001.fastq.gz	787	65	8.25921219822109
W9_33_01_S164_R1_001.fastq.gz	44330	23697	53.4558989397699
W9_33_02_S65_R1_001.fastq.gz	39982	24412	61.0574758641389
W9_36_01_S153_R1_001.fastq.gz	70389	36126	51.3233601841197
W9_40_01_S140_R1_001.fastq.gz	63863	43229	67.6902118597623
