site,round,period,sample_id,year,barcode_id,active_flower,final_id,notes,gut_plate,subsite,lat,long,sample_point,julian_date
NR,2,1,2_NR43,2022,NR2_43_07,LUPO,B. vosnesenskii,,bcparasite02_G11,nicomekl2,49.0834488,-122.776728,NR43,159
NR,4,2,4_NR43,2022,NR4_43_02,LUPO,B. vosnesenskii,,bcparasite03_A5,nicomekl2,49.0834488,-122.776728,NR43,181
NR,4,2,4_NR43,2022,NR4_43_07,LUPO,B. vosnesenskii,,bcparasite03_B3,nicomekl2,49.0834488,-122.776728,NR43,181
NR,5,3,5_NR14A,2022,NR5_14A_01,TRME,B. vosnesenskii,,bcparasite03_C2,nicomekl4,49.0803908,-122.7595179,NR14A,194
SD,6,3,6_SD37,2022,SD6_37_04,LOCO,B. vosnesenskii,,bcparasite03_D11,southdelta4,49.0602593,-123.058988,SD37,199
NR,5,3,5_NR14A,2022,NR5_14A_03,TRME,B. vosnesenskii,,bcparasite03_D8,nicomekl4,49.0803908,-122.7595179,NR14A,194
NR,2,1,2_NR43,2022,NR2_43_13,LUPO,B. vosnesenskii,,bcparasite04_A1,nicomekl2,49.0834488,-122.776728,NR43,159
SD,9,5,9_SD36,2022,SD9_36_02,VICR,B. vosnesenskii,,bcparasite04_D6,southdelta3,49.0597409,-123.0816311,SD36,224
SD,8,4,8_SD39,2022,SD8_39_07,PHTA,B. vosnesenskii,,bcparasite05_E11,southdelta2,49.0682854,-123.0740915,SD39,216
SD,7,4,7_SD37,2022,SD7_37_03,VICR,B. vosnesenskii,,bcparasite05_F10,southdelta4,49.0602593,-123.058988,SD37,209
NR,3,2,3_NR01,2022,NR3_01_05,RONU,B. vosnesenskii,,bcparasite05_G6,nicomekl2,49.089725,-122.7790482,NR01,171
NR,2,1,2_NR43,2022,NR2_43_03,LUPO,B. vosnesenskii,,bcparasite06_G12,nicomekl2,49.0834488,-122.776728,NR43,159
NR,5,3,5_NR14A,2022,NR5_14A_04,TRME,B. vosnesenskii,,bcparasite06_H12,nicomekl4,49.0803908,-122.7595179,NR14A,194
SD,6,3,6_SD36,2022,SD6_36_14,VICR,B. vosnesenskii,,bcparasite06_H9,southdelta3,49.0597409,-123.0816311,SD36,199
SD,7,4,7_SD37,2022,SD7_37_09,LOCO,B. vosnesenskii,,bcparasite07_B9,southdelta4,49.0602593,-123.058988,SD37,209
SD,7,4,7_SD39,2022,SD7_39_13,PHTA,B. vosnesenskii,,bcparasite07_C11,southdelta2,49.0682854,-123.0740915,SD39,209
SD,9,5,9_SD25,2022,SD9_25_04,TAER,B. vosnesenskii,,bcparasite07_C3,southdelta4,49.058024,-123.0639996,SD25,224
SD,6,3,6_SD03,2022,SD6_03_01,VICR,B. vosnesenskii,,bcparasite07_C7,southdelta3,49.0601615,-123.0764268,SD03,199
SD,7,4,7_SD39,2022,SD7_39_17,PHTA,B. vosnesenskii,,bcparasite07_D12,southdelta2,49.0682854,-123.0740915,SD39,209
SD,9,5,9_SD36,2022,SD9_36_01,VICR,B. vosnesenskii,,bcparasite07_E6,southdelta3,49.0597409,-123.0816311,SD36,224
NR,3,2,3_NR43,2022,NR3_43_04,LUPO,B. vosnesenskii,,bcparasite07_G5,nicomekl2,49.0834488,-122.776728,NR43,171
NR,2,1,2_NR43,2022,NR2_43_12,LUPO,B. vosnesenskii,,bcparasite08_B10,nicomekl2,49.0834488,-122.776728,NR43,159
SD,6,3,6_SD03,2022,SD6_03_07,VICR,B. vosnesenskii,,bcparasite08_C5,southdelta3,49.0601615,-123.0764268,SD03,199
SD,8,4,8_SD26,2022,SD8_26_04,TRHY,B. vosnesenskii,,bcparasite08_F4,southdelta4,49.0584528,-123.0671996,SD26,216
SD,6,3,6_SD26,2022,SD6_26_18,VIVI,B. vosnesenskii,,bcparasite08_H4,southdelta4,49.0584528,-123.0671996,SD26,199
ED,5,3,5_ED28A,2022,ED5_28A_06,VICR,B. vosnesenskii,,,eastdelta1,49.1007889,-122.9346452,ED28A,190
ED,5,3,5_ED28A,2022,ED5_28A_07,VICR,B. vosnesenskii,,,eastdelta1,49.1007889,-122.9346452,ED28A,190
ED,6,3,6_ED27A,2022,ED6_27A_03,VICR,B. vosnesenskii,,,eastdelta1,49.1002656,-122.9297475,ED27A,202
ED,7,4,7_ED21A,2022,ED7_21A_01,RARA,B. vosnesenskii,,,eastdelta1,49.1046683,-122.9321746,ED21A,210
ED,8,4,8_ED22B,2022,ED8_22B_04,VICR,B. vosnesenskii,,,eastdelta2,49.1046204,-122.9460145,ED22B,220
ED,9,5,9_ED11,2022,ED9_11_01,TRME,B. vosnesenskii,,,eastdelta1,49.0998336,-122.9364988,ED11,227
HR,7,4,7_HR04,2022,HR7_04_04,SPDO,B. vosnesenskii,,,harvieroad3,49.1534069,-122.719946,HR04,214
HR,8,4,8_HR10,2022,HR8_10_03,LASY,B. vosnesenskii,,,harvieroad2,49.1588394,-122.7276809,HR10,221
NR,2,1,2_NR43,2022,NR2_43_10,LUPO,B. vosnesenskii,,,nicomekl2,49.0834488,-122.776728,NR43,159
NR,3,2,3_NR30A,2022,NR3_30A_01,TRHY,B. vosnesenskii,,,nicomekl4,49.0749955,-122.7581554,NR30A,171
NR,3,2,3_NR30A,2022,NR3_30A_02,TRHY,B. vosnesenskii,,,nicomekl4,49.0749955,-122.7581554,NR30A,171
NR,4,2,4_NR43,2022,NR4_43_03,LUPO,B. vosnesenskii,,,nicomekl2,49.0834488,-122.776728,NR43,181
NR,5,3,5_NR03A,2022,NR5_03A_01,VICR,B. vosnesenskii,,,nicomekl3,49.0792536,-122.7756076,NR03A,194
NR,6,3,6_NR07A,2022,NR6_07A_04,VICR,B. vosnesenskii,,,nicomekl1,49.0896758,-122.7593916,NR07A,203
NR,7,4,7_NR14A,2022,NR7_14A_04,RASA,B. vosnesenskii,,,nicomekl4,49.0803908,-122.7595179,NR14A,213
PM,10,5,10_PM40,2022,PM10_40_01,TRME,B. vosnesenskii,,,pittmeadows2,49.2568274,-122.6668088,PM40,232
PM,7,4,7_PM71,2022,PM7_71_04,IMGL,B. vosnesenskii,,,pittmeadows2,49.25134,-122.6668765,PM71,212
SD,2,1,2_SD40,2022,SD2_40_09,LUPO,B. vosnesenskii,,,southdelta2,49.0664297,-123.0753682,SD40,153
SD,5,3,5_SD03,2022,SD5_03_01,VICR,B. vosnesenskii,,,southdelta3,49.0601615,-123.0764268,SD03,187
SD,6,3,6_SD39,2022,SD6_39_02,PHTA,B. vosnesenskii,,,southdelta2,49.0682854,-123.0740915,SD39,199
SD,6,3,6_SD39,2022,SD6_39_04,PHTA,B. vosnesenskii,,,southdelta2,49.0682854,-123.0740915,SD39,199
W,7,4,7_W24,2022,W7_24_02,CIAR,B. vosnesenskii,,,westham2,49.0920602,-123.1542973,W24,206
