row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
ED25_15A_02	35475	25840	25800	25804	25610	25602	24800	0.0312377977352583	3.13256776814312	69.9083861874559
ED27_19B_06	29102	9242	9168	9182	8046	7780	4958	3.3059905543127	36.2724935732648	17.0366297848945
ED3_21A_01	37413	28434	28295	28299	22007	21952	17276	0.249920479847319	21.3010204081633	46.1764627268596
ED4_10_02	31263	24428	24410	24410	24169	24138	22864	0.128263478009018	5.27798492004308	73.1343760995426
ED4_10_04	32915	23945	23903	23913	23460	23425	19713	0.149190110826936	15.846318036286	59.8906273735379
ED5_14_02	32091	23797	23746	23741	22817	22702	20254	0.504010167857288	10.78319090829	63.1142687981054
ED5_25A_02	37236	26002	25443	25957	23464	23453	20612	0.0468803273099212	12.1135888798874	55.3550327639918
ED6_06_03	40597	32371	32262	32344	31563	31375	30654	0.59563412856825	2.29800796812749	75.5080424661921
ED6_13_07	39411	31288	31263	31226	30392	30346	30130	0.151355619899974	0.711790680814602	76.4507371038543
ED6_13_12	34914	28859	28782	28412	27673	27561	27076	0.404726628844003	1.75973295598854	77.5505527868477
ED6_13_13	35667	29271	29208	29177	28729	28671	26913	0.201886595426231	6.13163126504132	75.4563041466902
ED8_06_02	38621	19181	19092	19110	17201	17065	16690	0.790651706296146	2.197480222678	43.2148313093913
ED8_15_01	33753	26042	26032	26026	25749	25734	25728	0.0582546895025047	0.0233154581487582	76.224335614612
ED8_25A_02	42072	28663	28413	28555	18948	18790	17334	0.833861093519104	7.74880255455029	41.2007986309184
ED9_19A_01	32612	25373	25339	25348	23509	23457	21879	0.221191883959335	6.72720296713135	67.0888016680976
HR1_03_01	41595	29895	29816	29805	21234	21112	20971	0.57455024959971	0.667866616142476	50.4171174420002
HR1_16_04	39299	26046	25982	25974	23738	23480	21477	1.08686494228662	8.53066439522998	54.650245553322
HR1_22_01	33389	24891	24860	24869	11272	11268	10885	0.0354861603974399	3.39900603478878	32.6005570696936
HR17_09_01	46617	30715	30686	30682	29530	29471	26292	0.199796816796479	10.7868752332802	56.4000257416822
HR17_09_02	37213	24772	24767	23945	22313	22276	21224	0.165822614619287	4.72257137726702	57.0338322629189
HR17_24_01	33485	24918	24719	24711	22310	22028	17792	1.26400717167189	19.2300708189577	53.1342392115873
HR17_28_01	36234	22197	21784	21931	13641	13248	11024	2.88102045304596	16.7874396135266	30.4244632113485
HR17_32_02	39077	34112	33923	33664	31341	31227	14535	0.363740786828757	53.4537419540782	37.1957929216675
HR17_32_03	51987	44142	43929	43809	40340	39871	16341	1.16261774913238	59.0153244212586	31.4328582145536
HR18_05A_02	33996	22633	22447	22498	21448	21169	17592	1.30082058933235	16.8973498984364	51.7472643840452
HR18_07_01	39802	28206	28073	28133	27270	27131	24847	0.509717638430502	8.41841435995725	62.4265112305914
HR18_09_01	37304	25398	25339	25347	24914	24856	22989	0.232800834871966	7.51126488574188	61.6260990778469
HR18_09_02	35185	21894	21860	21850	17131	17076	16164	0.321055396649356	5.34082923401265	45.9400312633224
HR18_11_14	35323	22916	22819	22839	6975	6944	6493	0.444444444444443	6.49481566820278	18.3817909011126
